Country,Continent,GDP_per_capita,life_expectancy,Population
Afghanistan,Asia,663,54.863,22856302
Albania,Europe,4195,74.2,3071856
Algeria,Africa,5098,68.96300000000001,30533827
Angola,Africa,2446,45.233999999999995,13926373
Antigua and Barbuda,N. America,12738,73.544,77656
Argentina,S. America,10571,73.822,36930709
Armenia,Europe,2114,71.494,3076098
Australia,Oceania,29241,79.93,19164351
Austria,Europe,32008,78.33,8004712
Azerbaijan,Europe,2533,66.851,8110723
Bahamas,N. America,22728,72.37,297651
Bahrain,Asia,22015,74.497,638193
Bangladesh,Asia,1075,65.309,129592275
Barbados,N. America,14982,73.118,267511
Belarus,Europe,5936,68.99,10057810
Belgium,Europe,29940,77.91,10175684
Belize,N. America,6545,70.425,250512
Benin,Africa,1307,55.261,6517810
Bhutan,Asia,2922,60.306999999999995,571262
Bolivia,S. America,3394,62.994,8307248
Bosnia and Herzegovina,Europe,5733,74.882,3693698
Botswana,Africa,10107,50.567,1757925
Brazil,S. America,8056,70.26100000000001,174425387
Brunei,Asia,48020,75.92699999999999,327036
Bulgaria,Europe,6907,71.59,8006158
Burkina Faso,Africa,1001,50.589,12294012
Burundi,Africa,443,48.251000000000005,6374347
Cambodia,Asia,982,62.03,12446949
Cameroon,Africa,1803,51.96,15678269
Canada,N. America,32448,79.41,30667365
Cape Verde,Africa,2291,69.835,437238
Central African Rep.,Africa,762,43.727,3701607
Chad,Africa,1017,46.708,8222327
Chile,S. America,10435,77.01,15419820
China,Asia,3407,72.124,1269116737
Colombia,S. America,5749,71.02600000000001,39764166
Comoros,Africa,1090,57.9,562469
"Congo, Dem. Rep.",Africa,292,46.387,49626200
"Congo, Rep.",Africa,3423,52.326,3135773
Costa Rica,N. America,7672,77.721,3919180
Cote d'Ivoire,Africa,1746,46.428999999999995,16581653
Croatia,Europe,10582,74.798,4505533
Cuba,N. America,6115,76.684,11104313
Cyprus,Europe,22821,78.01100000000001,943294
Czech Rep.,Europe,16823,75.05,10242890
Denmark,Europe,31805,76.9,5339501
Djibouti,Africa,1894,57.023,731930
Dominican Rep.,N. America,4350,70.553,8591967
Ecuador,S. America,5616,73.35300000000001,12345023
Egypt,Africa,4629,68.632,67648419
El Salvador,N. America,5341,69.715,5940305
Equatorial Guinea,Africa,5240,47.723,520380
Eritrea,Africa,741,56.131,3667576
Estonia,Europe,11244,70.8,1370749
Ethiopia,Africa,512,52.245,65577897
Fiji,Oceania,3856,67.553,811718
Finland,Europe,27171,77.76,5173370
France,Europe,28636,79.23,59047795
Gabon,Africa,12764,59.744,1235274
Gambia,Africa,687,55.115,1297084
Georgia,Europe,2332,71.839,4745765
Germany,Europe,29726,78.14127463,82349027
Ghana,Africa,1067,56.996,19165490
Greece,Europe,20675,78.535,10986883
Greenland,N. America,33204,67.03,56196
Grenada,N. America,8655,70.34100000000001,101522
Guatemala,N. America,4884,67.768,11237101
Guinea,Africa,906,51.257,8344486
Guinea-Bissau,Africa,632,51.468,1240655
Guyana,S. America,3141,63.29,733101
Haiti,N. America,1344,57.46,8645371
Honduras,N. America,3093,70.482,6218151
"Hong Kong, China",Asia,29972,80.361,6783317
Hungary,Europe,13592,71.86,10210545
Iceland,Europe,31092,79.72,281210
India,Asia,1648,62.129,1053898107
Indonesia,Asia,2714,67.289,213395411
Iran,Asia,8600,69.611,65342319
Iraq,Asia,3951,70.845,23857458
Ireland,Europe,30827,76.66,3803780
Israel,Asia,22834,78.75,6014953
Italy,Europe,27160,79.73,56986329
Jamaica,N. America,6934,70.479,2581648
Japan,Asia,28559,81.35,125720310
Jordan,Asia,3664,71.72399999999999,4827096
